,GLD,GLD,GLD,GLD,GLD
,open,high,low,close,volume
time,,,,,
2017-09-26 00:00:00-04:00,123.57,123.81,122.9,123.13,6830345
2017-09-27 00:00:00-04:00,122.04,122.51,121.88,121.99,5582835
2017-09-28 00:00:00-04:00,122.04,122.475,121.83,122.23,4713866
2017-09-29 00:00:00-04:00,122.29,122.3,121.55,121.601,6714751
2017-10-02 00:00:00-04:00,121.17,121.34,120.74,120.76,8597785
2017-10-03 00:00:00-04:00,120.72,121.1,120.7041,120.84,2870112
2017-10-04 00:00:00-04:00,121.21,121.27,120.7101,121.17,5185478
2017-10-05 00:00:00-04:00,121.15,121.24,120.395,120.51,4958899
2017-10-06 00:00:00-04:00,120.26,121.21,119.7835,121.11,7703241
2017-10-09 00:00:00-04:00,121.64,122.11,121.551,122.07,3863301
2017-10-10 00:00:00-04:00,122.61,122.97,122.36,122.39,5828818
2017-10-11 00:00:00-04:00,122.57,122.88,122.03,122.8,4731225
2017-10-12 00:00:00-04:00,122.84,123.035,122.5,122.885,2559270
2017-10-13 00:00:00-04:00,123.66,123.86,123.34,123.84,5326268
2017-10-16 00:00:00-04:00,123.82,123.97,122.57,122.98,6970391
2017-10-17 00:00:00-04:00,122.02,122.32,121.73,122.13,5293645
2017-10-18 00:00:00-04:00,121.71,121.94,121.55,121.66,3004194
2017-10-19 00:00:00-04:00,122.2,122.55,122.111,122.38,4433616
2017-10-20 00:00:00-04:00,121.68,121.98,121.39,121.601,5808931
2017-10-23 00:00:00-04:00,120.98,121.9,120.96,121.81,4305379
2017-10-24 00:00:00-04:00,121.26,121.71,120.98,121.33,4059885
2017-10-25 00:00:00-04:00,121.31,121.5899,120.84,121.34,3536592
2017-10-26 00:00:00-04:00,121.16,121.16,120.22,120.33,5119489
2017-10-27 00:00:00-04:00,120.38,120.99,120.21,120.89,5069164
2017-10-30 00:00:00-04:00,120.93,121.47,120.8,121.13,3840455
2017-10-31 00:00:00-04:00,120.82,120.84,120.38,120.68,2836820
2017-11-01 00:00:00-04:00,120.98,121.55,120.835,121.11,3789409
2017-11-02 00:00:00-04:00,121.29,121.96,121.05,121.2,4476770
2017-11-03 00:00:00-04:00,121.36,121.43,120.1844,120.63,4545275
2017-11-06 00:00:00-05:00,120.72,121.85,120.68,121.65,5425015
2017-11-07 00:00:00-05:00,121.51,121.56,120.78,121.2,3592619
2017-11-08 00:00:00-05:00,121.94,122.25,121.59,121.64,4574706
2017-11-09 00:00:00-05:00,121.85,122.41,121.73,122.14,4822491
2017-11-10 00:00:00-05:00,121.99,122.11,120.935,121.14,6080129
2017-11-13 00:00:00-05:00,121.43,121.55,121.27,121.32,4735666
2017-11-14 00:00:00-05:00,120.9,121.91,120.77,121.57,5106337
2017-11-15 00:00:00-05:00,122.13,122.36,121.25,121.41,3744598
2017-11-16 00:00:00-05:00,121.45,121.71,121.29,121.4,2219847
2017-11-17 00:00:00-05:00,122.17,123.17,121.95,122.85,8455905
2017-11-20 00:00:00-05:00,122.3,122.41,121.04,121.3,6547997
2017-11-21 00:00:00-05:00,121.67,122.0,121.5,121.53,3545103
2017-11-22 00:00:00-05:00,122.26,122.95,122.17,122.63,4139780
2017-11-24 00:00:00-05:00,122.36,122.61,122.22,122.32,1241715
2017-11-27 00:00:00-05:00,123.26,123.33,122.67,122.85,4071623
2017-11-28 00:00:00-05:00,123.05,123.17,122.53,122.8,5044658
2017-11-29 00:00:00-05:00,122.24,122.33,121.74,122.05,4909914
2017-11-30 00:00:00-05:00,121.44,121.695,120.64,121.08,6637180
