,GLD,BTC
,close,close
2018-03-19,124.88,8355.327865090401
2018-03-20,124.29,8623.222288904393
2018-03-21,126.45,8983.151140472886
2018-03-22,125.98,8791.889374560795
2018-03-23,127.6,8530.117186629528
2018-03-26,128.28,8206.624111888135
2018-03-27,127.51,7965.610793319432
2018-03-28,125.73,7916.98763029883
2018-03-29,125.79,7518.44505211954
2018-04-02,127.27,6977.98203897008
2018-04-03,126.28,7325.304333333331
2018-04-04,126.43,7077.711673611102
2018-04-05,125.81,6758.0727348643
2018-04-06,126.41,6649.686111888122
2018-04-09,126.8,6891.134498607237
2018-04-10,127.12,6779.196400277992
2018-04-11,128.11,6879.982216817247
2018-04-12,126.62,7336.708215277788
2018-04-13,127.46,7992.690451388897
2018-04-16,127.63,8080.020305555557
2018-04-17,127.75,8036.633618055566
2018-04-18,127.85,8057.3129930555615
2018-04-19,127.6,8213.242849200858
2018-04-20,126.62,8445.635604166675
2018-04-23,125.62,8895.61159248956
2018-04-24,126.23,9314.519125000024
2018-04-25,125.405,9221.040361111109
2018-04-26,124.94,8883.210298611131
2018-04-27,125.49,9217.02084722222
2018-04-30,124.6,9290.616041666668
2018-05-01,123.7,8988.595694444466
2018-05-02,123.64,9112.690618485069
2018-05-03,124.28,9379.656666666657
2018-05-04,124.55,9656.508229166666
2018-05-07,124.58,9344.1005277778
2018-05-08,124.59,9260.790923611114
2018-05-09,124.34,9193.189895688482
2018-05-10,125.17,9265.751898470113
2018-05-11,125.01,8701.556430555573
2018-05-14,124.48,8580.233694891553
2018-05-15,122.49,8642.09697222224
2018-05-16,122.3,8282.693219749664
2018-05-17,122.36,8278.002995135541
2018-05-18,122.4,8106.670181311033
2018-05-21,122.47,8455.133695198358
2018-05-22,122.42,8233.2557916667
2018-05-23,122.55,7784.575402777791
2018-05-24,123.6,7538.526891516037
2018-05-25,123.22,7486.642820334291
2018-05-29,123.21,7293.893402777787
2018-05-30,123.38,7432.491090277765
2018-05-31,123.11,7500.117368055571
2018-06-01,122.51,7481.294326587604
2018-06-04,122.38,7575.770119047636
2018-06-05,122.86,7491.749234516372
2018-06-06,122.9,7606.474933705539
2018-06-07,122.87,7692.623342657363
2018-06-08,123.02,7629.4082270497565
2018-06-11,123.22,6760.714718554554
2018-06-12,122.82,6754.020848400557
2018-06-13,123.17,6443.017722222231
2018-06-14,123.39,6502.8068575419165
2018-06-15,121.31,6551.018980446916
2018-06-18,121.12,6523.233642105261
2018-06-19,120.83,6718.1673263158
2018-06-20,120.27,6680.250211565586
2018-06-21,120.06,6736.816926315792
2018-06-22,120.35,6359.186926286503
2018-06-25,119.89,6203.440236768817
2018-06-26,119.29,6201.924495476686
2018-06-27,118.59,6096.042561060735
2018-06-28,118.23,6081.872907949803
2018-06-29,118.65,5903.817749999997
2018-07-02,117.45,6453.1498888116885
2018-07-03,118.66,6596.762625000031
2018-07-05,119.07,6581.247724425885
2018-07-06,118.86,6541.856096033405
2018-07-09,119.16,6705.73146036162
2018-07-10,118.9,6480.237635605015
2018-07-11,117.65,6354.387743732591
2018-07-12,118.11,6219.142004175372
2018-07-13,117.59,6236.775603628785
2018-07-16,117.54,6521.226309192203
2018-07-17,116.28,6877.720881944445
2018-07-18,116.28,7402.712555555563
2018-07-19,115.81,7390.11466666668
2018-07-20,116.57,7420.497642559139
2018-07-23,116.01,7679.785597484293
2018-07-24,116.03,8071.491902777785
2018-07-25,116.68,8253.39627711686
2018-07-26,115.8,8196.312067039127
2018-07-27,115.84,8021.261315240094
2018-07-30,115.65,8133.612545454568
2018-07-31,115.98,7914.978093249836
2018-08-01,115.15,7569.98511111112
2018-08-02,114.51,7590.204027874581
2018-08-03,114.91,7394.049603340312
2018-08-06,114.32,6988.067776223786
2018-08-07,114.59,6986.506615598909
2018-08-08,114.91,6444.725208333348
2018-08-09,114.74,6394.308685674555
2018-08-10,114.69,6394.756190807804
2018-08-13,112.98,6345.148011444932
2018-08-14,113.06,6055.93001395674
2018-08-15,111.21,6369.941725105185
2018-08-16,111.11,6345.205167737333
2018-08-17,112.13,6466.440156139124
2018-08-20,112.68,6443.839019466507
2018-08-21,113.02,6399.665961538479
2018-08-22,113.27,6578.93065263159
2018-08-23,112.2,6433.59128985508
2018-08-24,114.14,6552.552062812305
2018-08-27,114.58,6713.404940209257
2018-08-28,113.7,6988.193763440868
2018-08-29,114.2,7049.201741007193
2018-08-30,113.63,6926.345320560059
2018-08-31,113.5,6979.515892473139
2018-09-04,112.93,7322.942907063195
2018-09-05,113.31,7112.407442719887
2018-09-06,113.54,6421.566614950644
2018-09-07,113.22,6443.379818445927
2018-09-10,113.155,6287.451192930781
2018-09-11,113.22,6289.720114285719
2018-09-12,114.17,6267.861665433026
2018-09-13,113.76,6441.617818181825
2018-09-14,113.01,6500.131865889239
2018-09-17,113.61,6387.490205371261
2018-09-18,113.43,6297.308249056616
2018-09-19,113.9,6336.368052434459
2018-09-20,114.26,6412.342884333824
2018-09-21,113.48,6659.220299572041
2018-09-24,113.47,6634.44664591439
2018-09-25,113.65,6412.626680942187
2018-09-26,113.05,6462.996850220276
2018-09-27,112.06,6521.875486211904
2018-09-28,112.77,6666.001017441856
2018-10-01,112.57,6574.212947845811
2018-10-02,113.86,6540.448741366064
2018-10-03,113.41,6447.402578524469
2018-10-04,113.48,6547.158526551972
2018-10-05,113.83,6544.634546839298
2018-10-08,112.53,6588.198555643252
2018-10-09,112.62,6587.047837626855
2018-10-10,112.88,6515.385291411043
2018-10-11,115.73,6213.398266475648
2018-10-12,115.24,6201.330185328173
2018-10-15,115.94,6375.915151515143
2018-10-16,115.87,6437.897811550148
2018-10-17,115.76,6438.395173775681
2018-10-18,115.9,6425.849136807825
2018-10-19,116.015,6385.537317487259
2018-10-22,115.69,6404.979250996003
2018-10-23,116.37,6395.231764234161
2018-10-24,116.64,6425.475460992908
2018-10-25,116.39,6400.670389926894
2018-10-26,116.73,6401.020234657028
2018-10-29,116.3,6325.243846761466
2018-10-30,115.78,6264.282793076326
2018-10-31,115.14,6277.983404423378
2018-11-01,116.66,6311.7777797356775
2018-11-02,116.65,6351.691101766193
2018-11-05,116.38,6404.265751211624
2018-11-06,116.49,6413.3648218347325
2018-11-07,116.01,6506.953637759035
2018-11-08,115.77,6448.523554868636
2018-11-09,114.48,6365.227866666656
2018-11-12,113.66,6350.391491754116
2018-11-13,113.68,6289.831622418876
2018-11-14,114.65,6006.550893118598
2018-11-15,114.76,5494.598483577921
2018-11-16,115.57,5530.669472934485
2018-11-19,115.67,5200.096306179772
2018-11-20,115.62,4529.77100488486
2018-11-21,115.87,4447.306943078006
2018-11-23,115.74,4248.274685264663
2018-11-26,115.63,3851.038244755244
2018-11-27,114.94,3702.977810320785
2018-11-28,115.4,4057.5387753673895
2018-11-29,115.73,4225.080133614636
2018-11-30,115.53,4074.664711332861
2018-12-03,116.39,3924.323887688984
2018-12-04,117.07,3904.757469793894
2018-12-06,117.12,3694.432837741249
2018-12-07,118.08,3360.126139860142
2018-12-10,117.67,3468.063985401453
2018-12-11,117.55,3364.642978878373
2018-12-12,117.79,3398.5317851851896
2018-12-13,117.54,3360.8255709090936
2018-12-14,117.11,3232.93347574221
2018-12-17,117.85,3338.174115942034
2018-12-18,118.13,3508.732186405045
2018-12-19,117.42,3748.5802930914233
2018-12-20,119.21,3923.647013258892
2018-12-21,118.74,3972.444502801114
2018-12-24,119.99,4126.508755334276
2018-12-26,119.7,3778.980841799703
2018-12-27,120.52,3717.578827734094
2018-12-28,120.9705,3701.864110871131
2018-12-31,121.19,3756.784855129202
2019-01-02,121.3,3824.518114068432
2019-01-03,122.36,3829.362852664569
2019-01-04,121.48,3784.540473723167
2019-01-07,121.82,4022.5247154471513
2019-01-08,121.51,4006.996387049304
2019-01-09,122.2451,4010.502662765178
2019-01-10,121.585,3792.0852799433055
2019-01-11,121.77,3636.772340730136
2019-01-14,122.08,3582.7655756207705
2019-01-15,121.855,3640.4180061349753
2019-01-16,122.22,3603.57346863468
2019-01-17,122.085,3603.1708124076818
2019-01-18,121.08,3615.1400535577623
2019-01-22,121.4,3552.0646728971906
2019-01-23,121.275,3568.968170542642
2019-01-24,121.055,3554.440264591436
2019-01-25,122.82,3556.520208816708
2019-01-28,123.23,3437.0490320232875
2019-01-29,123.935,3397.945887640453
2019-01-30,124.6,3424.110702290076
2019-01-31,124.73,3424.3710448859447
2019-02-01,124.55,3416.629947761195
2019-02-04,124.01,3414.024439140812
2019-02-05,124.27,3419.373164956588
2019-02-06,123.465,3371.2589051657715
2019-02-07,123.775,3366.210661938537
2019-02-08,124.19,3455.8867182890817
2019-02-11,123.655,3595.222505559672
2019-02-12,123.885,3577.927973568282
2019-02-13,123.39,3582.0485247148235
2019-02-14,124.02,3568.8712414837278
2019-02-15,124.925,3570.4683599088894
2019-02-19,126.68,3900.8131949331423
2019-02-20,126.48,3911.0203876525447
2019-02-21,125.05,3906.5877461706855
