Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2011-12-31,4.465,4.4825,4.465,4.4825,23.829469525,106.330084387325,4.471602874575
2012-01-01,4.806666666666667,4.806666666666667,4.806666666666667,4.806666666666667,7.200666666666667,35.259719999999994,4.806666666666667
2012-01-02,5.0,5.0,5.0,5.0,19.048,95.24,5.0
2012-01-03,5.2525,5.2525,5.2525,5.2525,11.004660114999998,58.10065118825,5.2525
2012-01-04,5.2,5.223333333333334,5.2,5.223333333333334,11.914806692222221,63.11957749717778,5.208159313655556
2012-01-05,6.281428571428571,6.286190476190477,6.281428571428571,6.286190476190477,4.514372821904762,27.987369843466666,6.2841271510761905
2012-01-06,6.435,6.444999999999999,6.435,6.444999999999999,2.4201961935714285,15.914658503171427,6.438999047607142
2012-01-07,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8
2012-01-08,6.95,6.95,6.95,6.95,2.5,17.3,6.95
2012-01-09,6.584166666666665,6.584166666666665,6.581666666666665,6.581666666666665,1.8574811916666678,12.306797769944447,6.582769666666665
2012-01-10,6.602999999999999,6.602999999999999,6.602999999999999,6.602999999999999,2.0763326726666667,13.773469480710004,6.602999999999999
2012-01-11,7.119583333333328,7.121874999999993,7.119583333333328,7.121874999999993,2.194977792083334,15.4794086490125,7.120684842337494
2012-01-12,7.062499999999999,7.062499999999999,7.062499999999999,7.062499999999999,6.8584693175,49.838469252500005,7.062499999999999
2012-01-13,6.968750000000001,6.984062500000001,6.940625000000002,6.9603125000000015,1.5303170262499999,10.779292332450002,6.9692365244187515
2012-01-14,6.419999999999999,6.419999999999999,6.409999999999999,6.409999999999999,1.6835999999999998,10.84868,6.414081197579999
2012-01-15,7.15,7.15,7.15,7.15,3.3398601400000003,23.880000001000006,7.15
2012-01-16,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,1.8070422528571428,12.392857138142856,6.714285714285715
2012-01-17,6.154166666666666,6.154166666666666,6.141666666666667,6.141666666666667,3.354750343333334,20.55857452370833,6.1483461580375005
2012-01-18,6.239166666666666,6.246944444444444,6.236944444444444,6.244722222222221,3.7068546977777763,22.803683391888892,6.240688438936111
